Name;Review;Stars
Dee 925;"I live on Ground Floor. Directly off a main road. For months now i have followed Housing Association protocol to report a repair, via emaol service, both via website and directly.

Friday evening some man was break-in through gate; The fright and PTSD this has caused, is just unfathomable.

Contacted Housing Association with CAD number first thing this morning; only response so far  from Maintenance Surveyor stating: “will have a look into”. WHAT DOES THAT MEAN.

@16::00hrs MY GATE REMAINS IN DISREPAIR; dry ROTTEN WOOD, EASY ACCESS FOR ALL."; 1 star 
Anne-Marie;"When are housing organisations like this one going to start taking responsibility for the extremely poor services and maintenance they're providing? Reported glass front wardrobe as needing replacing or repairs back in 2012, now 2019 2 jobs 2 grand children later, I'm still reporting the  dangerous condition. The have sent no fewer than 6 ppl (including their surveyor twice) to look at it, yes look at it! Take photos, make an appointment then don't show up my boiler installed over year ago, marked my wall with pen & solder, and left piping exposed and unboxed, but other tenants have been, why? Some came on 07/02/19, yes! you guest it, they looked at it and left to make another appointment for 04/03/19.  The list goes on. My dilemma; I have no more holidays to book off for appointments they do not attend. No what? I have a list of Housing Associations shoddy customer and maintenance service but will share another time. There is no accountability in organisation like this, people aren't happy but they don't care because we're are only tenants, if I was a lease holder what hoops would they not jump through for me I thinking about going to the councillors but no point, I'm not a lease holder, rich, or a mate so that's pretty much a waste of my time. I believed the old systems which use to hold these types of organisations accountable are long gone that's why they can keep you on the phone for 30-45 mins waiting for someone to answer or answer and leave you hanging for 10 mins before saying the persons gone home. Accountability is what's missing in these organisations that's why they get away with falling short of their responsibilities. I'll keep posting, I'm finding it cathartic. No one is listening, so not to explode/ implode I think I'll write about my experiences & share with social media, after that rant I feel a sense of relief. I'll post about the paving stone incident on Facebook; also still pending after being looked at by the same surveyor twice, two contractors twice!!! And they get paid for looking."; 1 star 
Diana;People on river close are throwing rubbish and wood pieces from their homes but nobody does anything about it. Another week where rubbish is dumped on a road with a childrens play area next to it. Not hard to find the persons doing it but Housing Association doesn't bother and charges more service charges against people who are suffering during the pandemic. They dont care about young children safety or maybe people struggling otherwise they would make pay the person not everyone not fair Housing Association sorry to say; 1 star 
Mohammed Khan;"WORST HOUSING ASSOCIATION
Let me paint a picture for you, imagine anyone being able to walk into your block of flats because Housing Association aren’t concerned about your safety. Imagine being trapped in a home where your own landlord won’t fix guttering leaking directly on to your front door. Imagine your neighbourhood officer being that much of a joey he blocks numbers of residents ( Arvin). Imagine a landlord that breaks GDPR by sending you someones rent statement. Imagine one of their garden workers urinating against the flat wall. Need I say more ?"; 1 star 
Klaudia W;Rude incompetent staff. Managers seem not to care when the residents are crying for help. It takes FOREVER to get through to anyone on the phone!; 1 star 
Renata Moura;Run away from them and stay calm. This is the worst housing association I have ever seen. I had a lot of problems in my apartment since I got it. I call them the customer service response after a long time of waiting, and they say they will call back to give to you an appointment and never call ... they hardly ever reply to your email, but it doesn't matter because they have no intention of fixing anything. I have a little boy 7 year old who got sick from lack of heat. Out of many other problems in flat, I don't believe in their excuses because their only interest is get the rent on time.; 1 star 
User;IT’S A SAD INDICTMENT FOR AN ORGANISATION WHEN THE MET POLICE HAVE A HIGHER RATING THAN YOU!; 1 star 
BBB 1;A zero  was not there so i have gave it a 1   shocking very unprofessional never can put things right. They also lie this has got to be the worst housing ever; 1 star 
Christine O'Neill;Even Housing Association can't even get through to their repairs CONTRACTORS just shows how incompetent they are. Greedy for money.; 1 star 
Emma Walsh;"Could not have dealt with a more unprofessional and unhelpful agent than the person who managed our sale. She was awful and caused us massive delays.in the sale. Tried to complain but got nowhere.
Avoid this company at all costs!"; 1 star 
